outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
3,10.1016/j.jpowsour.2010.12.040,18,4,0.009328410712715753,0.010552000166034326,0.011200957501463903
3,10.1016/j.jpowsour.2010.12.040,19,4,0.007499525126879957,0.00927581120019342,0.011213817877402811
4,10.1016/j.jpowsour.2011.06.030,0,4,0.013422348994744768,0.018047519886445037,0.02371043232934149
4,10.1016/j.jpowsour.2011.06.030,1,4,0.009841084369521184,0.013391130671149458,0.01680605789943174
4,10.1016/j.jpowsour.2011.06.030,2,4,0.009970681778803689,0.013826737375971489,0.01832364854936441
4,10.1016/j.jpowsour.2011.06.030,3,4,0.01371750427381331,0.01618515711730646,0.02052920620772404
4,10.1016/j.jpowsour.2011.06.030,4,4,0.010422853277887187,0.011542426808313308,0.012937737333149466
4,10.1016/j.jpowsour.2011.06.030,5,4,0.012729162228131002,0.014824537113967506,0.017755392241836355
4,10.1016/j.jpowsour.2011.06.030,6,4,0.011504386239657176,0.015878937338774067,0.02074144466593811
4,10.1016/j.jpowsour.2011.06.030,7,4,0.009451914450479682,0.010689483932675289,0.012358130330765498
4,10.1016/j.jpowsour.2011.06.030,8,4,0.01107643009917636,0.015803323682957362,0.020578716401241596
4,10.1016/j.jpowsour.2011.06.030,9,4,0.012617110966918465,0.014203662122420612,0.017486062286528437
4,10.1016/j.jpowsour.2011.06.030,10,4,0.010505390370711333,0.011799235658227865,0.01351310632810653
4,10.1016/j.jpowsour.2011.06.030,11,4,0.008355075491997222,0.01044308177958538,0.012359400484734502
4,10.1016/j.jpowsour.2011.06.030,12,4,0.011319036286889413,0.018187008024897894,0.024315546000947014
4,10.1016/j.jpowsour.2011.06.030,13,4,0.0066654332256926236,0.010190453894019232,0.013172197433735502
4,10.1016/j.jpowsour.2011.06.030,14,4,0.014735502202067817,0.020479371881428662,0.026841819644302174
4,10.1016/j.jpowsour.2011.06.030,15,4,0.01248451010190287,0.0163431447520142,0.02018713025196034
4,10.1016/j.jpowsour.2011.06.030,16,4,0.012123047760524789,0.015565192200968055,0.018637208959429347
4,10.1016/j.jpowsour.2011.06.030,17,4,0.01253113394256071,0.017498709697785327,0.023857291062035088
4,10.1016/j.jpowsour.2011.06.030,18,4,0.010654149184516883,0.014070623465725443,0.01801610512547864
4,10.1016/j.jpowsour.2011.06.030,19,4,0.00900225458246203,0.014547863798823132,0.020077438366730403
5,10.1016/j.jpowsour.2011.07.071,0,4,0.00901284864991049,0.009349638849305461,0.00952488933107548
5,10.1016/j.jpowsour.2011.07.071,1,4,0.00964866172197955,0.012975102657149892,0.015949262188732383
5,10.1016/j.jpowsour.2011.07.071,2,4,0.010643651934201534,0.014224343320816605,0.01841839544039536
5,10.1016/j.jpowsour.2011.07.071,3,4,0.007958578239557923,0.01222013496260197,0.015832922131367038
5,10.1016/j.jpowsour.2011.07.071,4,4,0.014263467669001578,0.016964497449988028,0.021788547173883375
5,10.1016/j.jpowsour.2011.07.071,5,4,0.008130503143491749,0.013105557832768969,0.017660039038248233
5,10.1016/j.jpowsour.2011.07.071,6,4,0.011547710501282416,0.01441157227303199,0.018514222242412098
5,10.1016/j.jpowsour.2011.07.071,7,4,0.008983520874175912,0.009841515213214832,0.010463822803453269
5,10.1016/j.jpowsour.2011.07.071,8,4,0.008606379697155808,0.011623575847021844,0.015012839568442309
5,10.1016/j.jpowsour.2011.07.071,9,4,0.009668866746334073,0.010802212744426734,0.012725204066464463
5,10.1016/j.jpowsour.2011.07.071,10,4,0.011332926157082692,0.013975170558224082,0.017579055689388588
5,10.1016/j.jpowsour.2011.07.071,11,4,0.010579360733768159,0.012834986463591257,0.01624341374316997
5,10.1016/j.jpowsour.2011.07.071,12,4,0.012000135153109492,0.014039773799315605,0.017322513721464317
5,10.1016/j.jpowsour.2011.07.071,13,4,0.008032271192192507,0.013011607006714615,0.01763985571102118
5,10.1016/j.jpowsour.2011.07.071,14,4,0.009468385464087554,0.013032320215667977,0.0177188431866855
5,10.1016/j.jpowsour.2011.07.071,15,4,0.014166435278457295,0.01600547224722701,0.020060085323521642
5,10.1016/j.jpowsour.2011.07.071,16,4,0.012146920096371512,0.013888622641523738,0.015902681467139707
5,10.1016/j.jpowsour.2011.07.071,17,4,0.011005064761491871,0.017081111122434222,0.02297591365653681
5,10.1016/j.jpowsour.2011.07.071,18,4,0.009680320247676838,0.011034998541735563,0.013787057863287086
5,10.1016/j.jpowsour.2011.07.071,19,4,0.008128187618842085,0.011160968074604207,0.014053131888048707
6,10.1021/JE020219O,0,4,0.009711925658181053,0.012592974750283514,0.015200341367045666
6,10.1021/JE020219O,1,4,0.007876439535743641,0.011825528714280983,0.015311423697216131
6,10.1021/JE020219O,2,4,0.010013908662788687,0.011959487585370946,0.013486128534079683
6,10.1021/JE020219O,3,4,0.011282091107316159,0.017469607437826433,0.024296880630475692
6,10.1021/JE020219O,4,4,0.01092688781366593,0.012142122148011655,0.013731005652541718
6,10.1021/JE020219O,5,4,0.013848599414541687,0.017120177348475752,0.023201011505642948
6,10.1021/JE020219O,6,4,0.012306910696258574,0.017323606343079705,0.02288883065249334
6,10.1021/JE020219O,7,4,0.012111921068959438,0.016025026062603545,0.02109439633364314
6,10.1021/JE020219O,8,4,0.011130783088141333,0.015189406686429744,0.020399231095270424
6,10.1021/JE020219O,9,4,0.012941175071933106,0.017809163364686773,0.024468344091072416
6,10.1021/JE020219O,10,4,0.012689631820155279,0.016640295865039848,0.021723296676130825
6,10.1021/JE020219O,11,4,0.008793307775403734,0.012733890097740343,0.01755864522573521
6,10.1021/JE020219O,12,4,0.015170303107416351,0.021309107390846894,0.027575021220305525
6,10.1021/JE020219O,13,4,0.0125962447672217,0.013957532212992048,0.016013334888979762
6,10.1021/JE020219O,14,4,0.011934241053991221,0.01692716736784287,0.023213420869357352
6,10.1021/JE020219O,15,4,0.014795326364118233,0.0194005902512351,0.023771240150806977
6,10.1021/JE020219O,16,4,0.01170998229517279,0.01465199045911983,0.018215518112430797
6,10.1021/JE020219O,17,4,0.015308804732204272,0.02097497386661401,0.028815608634358253
6,10.1021/JE020219O,18,4,0.012382595827125248,0.01822131733935491,0.026146540842980456
6,10.1021/JE020219O,19,4,0.009385383023921936,0.012650091738990695,0.01620806786098906
7,10.1021/je0498863,0,4,0.0099968907989597,0.015339400942588233,0.019874629511054818
7,10.1021/je0498863,1,4,0.008555319922596663,0.009694088310149876,0.011259830212117327
7,10.1021/je0498863,2,4,0.01186905244670076,0.012440618834806743,0.012418329344370468
7,10.1021/je0498863,3,4,0.011332066259878981,0.014077363031688576,0.017946067476028175
7,10.1021/je0498863,4,4,0.011444925977213563,0.01436950852019822,0.01880070796393572
7,10.1021/je0498863,5,4,0.006771138266161887,0.007975723086259838,0.008738242222104033
7,10.1021/je0498863,6,4,0.011860980503339918,0.015269424975118129,0.018666651375758278
7,10.1021/je0498863,7,4,0.0071334758009853625,0.01022153582419817,0.013367555257991331
7,10.1021/je0498863,8,4,0.009820780864609404,0.011180001571045081,0.011663339125390368
7,10.1021/je0498863,9,4,0.012819365356256662,0.01737427502165216,0.023727216286533483
7,10.1021/je0498863,10,4,0.011459640738906063,0.0134736746347228,0.017239312446872847
7,10.1021/je0498863,11,4,0.008420019055364264,0.011256567171234882,0.013654232939436592
7,10.1021/je0498863,12,4,0.013186513838677999,0.015995951241134603,0.019591543565075326
7,10.1021/je0498863,13,4,0.006805111726573612,0.007852538443411342,0.008839159908417035
7,10.1021/je0498863,14,4,0.010761867134482702,0.01226668541767035,0.01409549278052162
7,10.1021/je0498863,15,4,0.012735383062777038,0.017117739315754072,0.022286956542586597
7,10.1021/je0498863,16,4,0.010046412176906126,0.012567865443701127,0.014521988183203821
7,10.1021/je0498863,17,4,0.00996044591183357,0.011639090203966784,0.014591176602973085
7,10.1021/je0498863,18,4,0.01262663317677449,0.01583368531377184,0.020027620561850527
7,10.1021/je0498863,19,4,0.011958710306921546,0.014393114526338834,0.01743692922711029
8,10.1149/1.1344281,0,4,0.009392860155569236,0.012925192736418345,0.017211675239525572
8,10.1149/1.1344281,1,4,0.00817097285504906,0.010983806578310806,0.013687970115478567
8,10.1149/1.1344281,2,4,0.009469302048789529,0.012908648844354402,0.016987431692399888
8,10.1149/1.1344281,3,4,0.008039322577758254,0.014262196290016273,0.02014210809333861
8,10.1149/1.1344281,4,4,0.01176264473764787,0.015148168946684188,0.01866430521653279
8,10.1149/1.1344281,5,4,0.009021636985127805,0.011193451704025886,0.014348048152419558
8,10.1149/1.1344281,6,4,0.0075541299217520555,0.008817733712394124,0.010316302101879263
8,10.1149/1.1344281,7,4,0.009805988163143152,0.011273113532993905,0.011969148285059688
8,10.1149/1.1344281,8,4,0.010529200825804446,0.015460441304698966,0.02071609179810111
8,10.1149/1.1344281,9,4,0.011952673529995522,0.014413989480666611,0.018331725977360772
8,10.1149/1.1344281,10,4,0.006313431190661748,0.009369287665306288,0.012608753099993078
8,10.1149/1.1344281,11,4,0.010869582408341618,0.012598336947550947,0.015172619970076165
8,10.1149/1.1344281,12,4,0.009269503075596588,0.013949081071189633,0.018886804841493816
8,10.1149/1.1344281,13,4,0.009733667804556305,0.013517623123259033,0.01695737985333372
8,10.1149/1.1344281,14,4,0.010444101982511682,0.01671915506604972,0.02309520020300786
8,10.1149/1.1344281,15,4,0.010661528658910562,0.0146131578354749,0.01874697628400168
8,10.1149/1.1344281,16,4,0.01218771517623615,0.017412093779449172,0.02297353151456834
8,10.1149/1.1344281,17,4,0.008568811794620471,0.015384979238191833,0.021487358293046332
8,10.1149/1.1344281,18,4,0.014191370007321452,0.015979075287716343,0.018652315024018193
8,10.1149/1.1344281,19,4,0.010707907550758339,0.012645183450182248,0.013982728583034239
9,10.1149/1.1390879,0,4,0.009135726600193149,0.014869284374764499,0.020587526881931148
9,10.1149/1.1390879,1,4,0.009757402726037735,0.015171345639075054,0.020457159571604083
9,10.1149/1.1390879,2,4,0.007404363473712675,0.008200727395960129,0.008917224908866593
9,10.1149/1.1390879,3,4,0.009315285693659985,0.013667407501470358,0.018428995489627457
9,10.1149/1.1390879,4,4,0.009567394670393643,0.011025170545610327,0.012882967047168827
9,10.1149/1.1390879,5,4,0.009047024407381692,0.010356778058136047,0.0118689739777254
9,10.1149/1.1390879,6,4,0.009711648450270664,0.014361722323636044,0.01963072661176471
9,10.1149/1.1390879,7,4,0.010732313167821993,0.01630376146241831,0.02277299368418335
9,10.1149/1.1390879,8,4,0.009455781055993722,0.010903105686671674,0.013090875063618194
9,10.1149/1.1390879,9,4,0.00622801468021918,0.009842389652974728,0.013484876412390887
